institution,campaign,total_distance_km,available_distance_km,availability
AWI,1994_DML1,"21,401",0,
AWI,1995_DML2,"30,091",0,
AWI,1996_DML3,"14,867",0,
AWI,1997_DML4,"22,636",0,
AWI,1998_DML5,"19,253",0,
AWI,2000_DML6,"13,105",0,
AWI,2001_DML7,"32,978",0,
AWI,2002_DML8,"24,894",0,
AWI,2003_DML9,"41,329",0,
AWI,2004_DML10,"15,418",0,
AWI,2005_ANTSYSO,"11,910",0,
AWI,2007_ANTR,"28,225",0,
AWI,2013_GEA-IV,"32,647",0,
AWI,2014_Recovery-Glacier,"21,875",0,
AWI,2015_GEA-DML,"11,342",0,
AWI,2016_OIR,"20,416",0,
AWI,2018_ANIRES,"5,148",0,
AWI,2018_DML-Coast,"3,276",0,
AWI,2018_JURAS,"3,610",0,
AWI,2019_JURAS,724,0,
AWI,Total,"375,145",0,N/A
