institution,campaign,total_distance_km,available_distance_km,availability
BAS,1994_Evans,"21,900",0,
BAS,1998_Dufek,"6,255",0,
BAS,2001_Bailey-Slessor,"10,579",0,
BAS,2001_MAMOG,"3,613",0,
BAS,2002_TORUS,"12,151",0,
BAS,2007_Lake-Ellsworth,547,0,
BAS,2007_Rutford,"1,789",0,
BAS,2007_TIGRIS,"1,697",0,
BAS,2008_Lake-Ellsworth,"1,019",0,
BAS,2009_FERRIGNO,"1,796",0,
BAS,2010_PIG,"1,446",0,
BAS,2011_Adelaide,"3,596",0,
BAS,2012_Castle,212,0,
BAS,2013_ISTAR,"2,740",0,
BAS,2018_Thwaites,"6,989",0,
BAS,2019_Thwaites,"4,554",0,
BAS,AGAP,"52,655","52,655",
BAS,BBAS,"34,033","34,033",
BAS,FISS2015,"6,057","6,057",
BAS,FISS2016,"23,454","23,454",
BAS,GRADES_IMAGE,"22,840","22,840",
BAS,ICEGRAV,"24,726","24,726",
BAS,IMAFI,"22,035","22,035",
BAS,ITGC_2019,"4,660","4,660",
BAS,POLARGAP,"30,919","30,919",
BAS,WISE_ISODYN,"60,732","60,732",
BAS,BAS_1969_1970,"2,938",0,
BAS,BAS_1971_1972,"7,435",0,
BAS,BAS_1974_1975,"5,950",0,
BAS,BAS_1980_1981,"28,837",0,
BAS,BAS_1982_1983,"15,921",0,
BAS,BAS_1983_1984,"14,470",0,
BAS,BAS_1984_1985,"20,773",0,
BAS,BAS_1985_1986,"15,080",0,
BAS,BAS_1987_1988,"12,540",0,
BAS,Unknown,0,0,
BAS,Total,"486,938","282,111",N/A
