institution,campaign,total_distance_km,available_distance_km,availability
CRESIS,2002_Antarctica_P3chile,5520.0199999999995,5520.0199999999995,
CRESIS,2004_Antarctica_P3chile,5404.82,5404.82,
CRESIS,2005_Antarctica_GPRWAIS,272.35,272.35,
CRESIS,2009_Antarctica_DC8,44947.36,44947.36,
CRESIS,2009_Antarctica_TO,17433.25,17433.25,
CRESIS,2009_Antarctica_TO_Gambit,38961.14,38961.14,
CRESIS,2010_Antarctica_DC8,9655.09,9655.09,
CRESIS,2011_Antarctica_DC8,46719.09,46719.09,
CRESIS,2011_Antarctica_TO,14291.41,14291.41,
CRESIS,2012_Antarctica_DC8,32165.17,32165.17,
CRESIS,2013_Antarctica_Basler,16834.38,16834.38,
CRESIS,2013_Antarctica_P3,13922.86,13922.86,
CRESIS,2014_Antarctica_DC8,51921.85,51921.85,
CRESIS,2016_Antarctica_DC8,55258.55,55258.55,
CRESIS,2017_Antarctica_Basler,21251.07,21251.07,
CRESIS,2017_Antarctica_P3,9436.0,9436.0,
CRESIS,2018_Antarctica_DC8,40022.73,40022.73,
CRESIS,2018_Antarctica_Ground,1809.46,1809.46,
CRESIS,2019_Antarctica_GV,21409.6,21409.6,
CRESIS,Total,447236.2,447236.2,N/A
