institution,campaign,total_distance_km,available_distance_km,availability
RNRF,1971_Lambert-Amery,"4,846",0,
RNRF,1975_Filchner-Ronne,"121,272",0,
RNRF,1975_Lazarev,"3,320",0,
RNRF,2003_48RAEap5,"6,341",0,
RNRF,2003_AMSap5,"6,892",0,
RNRF,2004_49RAEap5,"7,272",0,
RNRF,2004_AMSap5,"7,387",0,
RNRF,2004_Mirny-Vostok,"1,408",0,
RNRF,2005_50RAEap5,"5,464",0,
RNRF,2005_AMSap5,"5,548",0,
RNRF,2006_51RAEap5,"7,518",0,
RNRF,2006_KV1-area,897,0,
RNRF,2006_Komsom-Vostok,900,0,
RNRF,2006_RAEap5,"7,439",0,
RNRF,2007_52RAEap5,"7,004",0,
RNRF,2007_AMSap5,"7,274",0,
RNRF,2007_Mirny-Vostok,"3,890",0,
RNRF,2008_53RAEap5,"6,321",0,
RNRF,2008_AMSap5,"6,472",0,
RNRF,2008_Vostok-Subglacial-Lake,"7,428,933",0,
RNRF,2009_RAEap5,"6,708",0,
RNRF,2010_RAE,"10,771",0,
RNRF,2011_RAE,"10,145",0,
RNRF,2013_RAE,"19,730",0,
RNRF,2013_Vostok-Progress,"1,281",0,
RNRF,2014_RAE,"8,852",0,
RNRF,2015_RAE,"8,294",0,
RNRF,2016_RAE,"8,906",0,
RNRF,2017_RAE,"9,003",0,
RNRF,2018_RAE,"7,462",0,
RNRF,2019_RAE,"6,918",0,
RNRF,Total,"7,744,468",0,N/A
