institution,campaign,total_distance_km,available_distance_km,availability
CRESIS,2002_Antarctica_P3chile,"5,524","5,524",
CRESIS,2004_Antarctica_P3chile,"5,403","5,403",
CRESIS,2005_Antarctica_GPRWAIS,273,273,
CRESIS,2009_Antarctica_DC8,"44,945","44,945",
CRESIS,2009_Antarctica_TO,"17,429","17,429",
CRESIS,2009_Antarctica_TO_Gambit,"39,018","39,018",
CRESIS,2010_Antarctica_DC8,"9,627","9,627",
CRESIS,2011_Antarctica_DC8,"46,675","46,675",
CRESIS,2011_Antarctica_TO,"14,296","14,296",
CRESIS,2012_Antarctica_DC8,"32,162","32,162",
CRESIS,2013_Antarctica_Basler,"16,900","16,900",
CRESIS,2013_Antarctica_P3,"13,947","13,947",
CRESIS,2014_Antarctica_DC8,"51,900","51,900",
CRESIS,2016_Antarctica_DC8,"55,272","55,272",
CRESIS,2017_Antarctica_Basler,"21,297","21,297",
CRESIS,2017_Antarctica_P3,"9,455","9,455",
CRESIS,2018_Antarctica_DC8,"40,020","40,020",
CRESIS,2018_Antarctica_Ground,"1,810","1,810",
CRESIS,2019_Antarctica_GV,"21,432","21,432",
CRESIS,Total,"447,385","447,385",N/A
